DATE,BOGMBASE_PCH
2003-01-01,0.01430
2003-02-01,0.24310
2003-03-01,0.61341
2003-04-01,0.60967
2003-05-01,0.57779
2003-06-01,0.18215
2003-07-01,0.36364
2003-08-01,0.45987
2003-09-01,0.02774
2003-10-01,0.51310
2003-11-01,0.80022
2003-12-01,1.20449
2004-01-01,-0.40573
2004-02-01,-0.14938
2004-03-01,0.20400
2004-04-01,0.59718
2004-05-01,0.51268
2004-06-01,0.76510
2004-07-01,0.87918
2004-08-01,-0.01320
2004-09-01,0.66033
2004-10-01,0.22304
2004-11-01,0.86399
2004-12-01,0.75276
2005-01-01,-0.14170
2005-02-01,-0.29670
2005-03-01,0.07763
2005-04-01,0.25856
2005-05-01,0.11605
2005-06-01,0.55384
2005-07-01,0.28180
2005-08-01,-0.02555
2005-09-01,0.66437
2005-10-01,-0.08884
2005-11-01,0.80030
2005-12-01,1.20983
2006-01-01,0.13697
2006-02-01,0.08704
2006-03-01,0.64604
2006-04-01,-0.11110
2006-05-01,0.42017
2006-06-01,-0.02461
2006-07-01,-0.11078
2006-08-01,-0.22181
2006-09-01,0.08645
2006-10-01,-0.07404
2006-11-01,0.86441
2006-12-01,1.21205
2007-01-01,-0.44756
2007-02-01,-0.36452
2007-03-01,0.10976
2007-04-01,0.25582
2007-05-01,0.32807
2007-06-01,0.18166
2007-07-01,0.20551
2007-08-01,0.08445
2007-09-01,-0.26519
2007-10-01,0.19338
2007-11-01,0.63932
2007-12-01,0.34760
2008-01-01,-0.78834
2008-02-01,-0.13243
2008-03-01,0.42194
2008-04-01,-0.33613
2008-05-01,0.54204
2008-06-01,0.65892
2008-07-01,0.80933
2008-08-01,0.07084
2008-09-01,7.32657
2008-10-01,24.92030
2008-11-01,26.91834
2008-12-01,15.53768
2009-01-01,2.73644
2009-02-01,-8.77921
2009-03-01,5.48121
2009-04-01,6.42870
2009-05-01,1.24914
2009-06-01,-5.14901
2009-07-01,-0.59987
2009-08-01,2.22275
2009-09-01,5.28408
2009-10-01,7.50056
2009-11-01,4.56024
2009-12-01,0.07903
2010-01-01,-1.53983
2010-02-01,6.02506
2010-03-01,-1.68306
2010-04-01,-3.13522
2010-05-01,-0.10425
2010-06-01,-0.49197
2010-07-01,-0.40451
2010-08-01,-0.03009
2010-09-01,-1.63013
2010-10-01,0.02549
2010-11-01,0.58113
2010-12-01,2.22493
2011-01-01,1.53198
2011-02-01,7.99355
2011-03-01,8.30620
2011-04-01,4.22912
2011-05-01,2.82785
2011-06-01,3.16687
2011-07-01,1.37059
2011-08-01,-1.00939
2011-09-01,-0.75253
2011-10-01,0.00379
2011-11-01,-1.22830
2011-12-01,0.54502
2012-01-01,0.80928
2012-02-01,2.02969
2012-03-01,-1.45487
2012-04-01,-0.57999
2012-05-01,-0.88264
2012-06-01,0.08790
2012-07-01,1.10738
2012-08-01,0.10952
2012-09-01,-2.10510
2012-10-01,0.65128
2012-11-01,1.34007
2012-12-01,1.09944
2013-01-01,2.45899
2013-02-01,3.77868
2013-03-01,3.15257
2013-04-01,2.61329
2013-05-01,3.49304
2013-06-01,2.71424
2013-07-01,2.79244
2013-08-01,3.28178
2013-09-01,2.58907
2013-10-01,2.94244
2013-11-01,2.64939
2013-12-01,0.89291
2014-01-01,0.29590
2014-02-01,2.81346
2014-03-01,1.36954
2014-04-01,1.15289
2014-05-01,-0.48846
2014-06-01,0.95104
2014-07-01,1.02312
2014-08-01,2.15337
2014-09-01,-0.63313
2014-10-01,-1.17801
2014-11-01,-4.27590
2014-12-01,2.71773
2015-01-01,2.09938
2015-02-01,-4.39621
2015-03-01,4.94988
2015-04-01,0.71453
2015-05-01,-2.70976
2015-06-01,-0.75454
2015-07-01,1.06133
2015-08-01,0.57558
2015-09-01,1.11697
2015-10-01,0.79434
2015-11-01,-1.32496
2015-12-01,-4.26536
2016-01-01,-1.12362
2016-02-01,2.10404
2016-03-01,0.66882
2016-04-01,-0.65411
2016-05-01,-0.93986
2016-06-01,-0.28672
2016-07-01,-1.38544
2016-08-01,1.17164
2016-09-01,-2.11701
2016-10-01,-4.38449
2016-11-01,1.61530
2016-12-01,-2.70538
2017-01-01,1.80938
2017-02-01,4.19691
2017-03-01,2.93348
2017-04-01,-0.89723
2017-05-01,-1.23767
2017-06-01,-0.30733
2017-07-01,0.86638
2017-08-01,3.01944
2017-09-01,-0.90793
2017-10-01,-1.15112
2017-11-01,2.03138
2017-12-01,-1.45098
2018-01-01,-0.68034
2018-02-01,0.79220
2018-03-01,-1.41371
2018-04-01,-1.93391
2018-05-01,-1.40324
2018-06-01,-0.66126
2018-07-01,-0.88207
2018-08-01,-0.93414
2018-09-01,-0.68908
2018-10-01,-1.09276
2018-11-01,-1.26672
2018-12-01,-2.17473
2019-01-01,-1.58203
2019-02-01,0.19720
2019-03-01,0.83495
2019-04-01,-2.80349
2019-05-01,-1.28396
2019-06-01,0.93389
2019-07-01,-0.44278
2019-08-01,0.34046
2019-09-01,-2.10002
2019-10-01,1.56431
2019-11-01,1.93064
2019-12-01,3.34479
2020-01-01,0.46987
2020-02-01,0.34567
2020-03-01,12.40701
2020-04-01,24.76887
2020-05-01,6.28496
2020-06-01,-2.86635
2020-07-01,-6.02783
2020-08-01,2.27858
2020-09-01,1.51641
2020-10-01,0.75405
2020-11-01,3.57731
2020-12-01,2.22855
2021-01-01,0.79708
2021-02-01,3.78811
2021-03-01,7.20056
2021-04-01,3.47834
2021-05-01,-0.00331
2021-06-01,-0.24661
2021-07-01,1.71229
2021-08-01,3.23807
2021-09-01,0.94964
2021-10-01,-0.90627
2021-11-01,1.00776
2021-12-01,0.28774
2022-01-01,-4.82138
2022-02-01,-1.04687
2022-03-01,1.56457
2022-04-01,-4.06390
